number,status,play number,score,year,topic
400,38,2.0y,8.2,2014,1
401,10,445.7w,8.7,2014,1
402,36,2101.7w,,2014,1
403,6,270.4w,9.2,2014,1
404,42,2.0y,,2014,1
405,72,7.5y,,2014,1
406,36,2.5y,,2014,1
407,35,2.3y,,2014,1
408,27,1406.5w,7.7,2014,1
409,6,521.4w,9.1,2014,1
410,44,2.1y,,2014,1
411,46,30.9y,8.4,2014,1
412,30,1.7y,,2014,1
413,42,11.7y,,2014,1
414,34,2.2y,,2014,1
415,30,7624.4w,,2014,1
416,52,2.7y,,2014,1
417,35,4.0y,8.1,2014,1
418,60,6.9y,,2014,1
419,30,1.5y,8.3,2014,1
420,41,1.8y,7.6,2014,1
421,35,3.6y,7.6,2014,1
422,,5.2w,7.8,2014,1
423,,5233.9w,8.1,2014,1
424,,1.1w,7.6,2014,1
425,,9.5w,7.9,2014,1
426,,7506.8w,7.8,2014,1
427,48,2907.7w,9,2013,1
428,33,6790.5w,6.8,2013,1
429,30,1598.3w,7.3,2013,1
430,35,258.6w,7.2,2013,1
431,35,1273.8w,7.3,2013,1
432,34,1.1y,7.5,2013,1
433,32,1297.7w,,2013,1
434,19,690.8w,,2013,1
435,38,1.9y,,2013,1
436,30,288.0w,,2013,1
437,30,1.6y,7.6,2013,1
438,32,1.6y,8.7,2013,1
439,42,1.6y,7.5,2013,1
440,30,2634.9w,,2013,1
441,9,280.0w,9.1,2013,1
442,30,9582.8w,,2013,1
443,6,456.1w,8.4,2013,1
444,48,2.3y,8.7,2013,1
445,33,2922.7w,,2013,1
446,15,455.4w,8.2,2013,1
447,44,1.3y,,2013,1
448,40,6860.5w,,2013,1
449,80,1.1y,6.5,2013,1
450,108,17.8y,6.6,2013,1
451,38,18.1y,8.1,2013,1
452,40,2.1y,8.6,2013,1
453,38,4774.8w,8.6,2013,1
454,36,7990.7w,,2013,1
455,,3.6w,8.4,2013,1
456,,1.0w,8.3,2013,1
457,41,115.3w,7.8,2012,1
458,28,262.5w,7.7,2012,1
459,34,755.2w,8.8,2012,1
460,35,2984.2w,7.4,2012,1
461,36,4671.5w,7.4,2012,1
462,36,5311.0w,,2012,1
463,34,8298.3w,,2012,1
464,30,1374.0w,,2012,1
465,21,39.1w,7.2,2012,1
466,60,112.0w,7.2,2012,1
467,43,671.2w,,2012,1
468,43,1.1y,,2012,1
469,30,1898.3w,,2012,1
470,42,1.4y,7.4,2012,1
471,24,2453.7w,7.4,2012,1
472,35,1.8y,7.5,2012,1
473,20,1730.1w,8.5,2012,1
